url,search_type
https://www.mycareersfuture.sg/job/analytics-end-end-architect-cognizant-technology-solutions-asia-pacific-c2bc28bf101605dc672395cc4f112c3c,analytics
https://www.mycareersfuture.sg/job/strategic-director-groupm-asia-pacific-holdings-a73367b2b85d0f91d7faf178c10ff2a7,analytics
https://www.mycareersfuture.sg/job/csat-reporting-analyst-grabtaxi-holdings-377d57f9928c0286f3ac597565540718,analytics
https://www.mycareersfuture.sg/job/senior-programmatic-media-manager-groupm-asia-pacific-holdings-18fd911cd2c28ddb868bdcf7dbfb483a,analytics
https://www.mycareersfuture.sg/job/programmatic-media-manager-groupm-asia-pacific-holdings-23e400fc2ad572ad34070edaf088d1ae,analytics
https://www.mycareersfuture.sg/job/programmatic-media-trader-groupm-asia-pacific-holdings-87dc9ec1e51d4c45c0f848e31ed2e4c0,analytics
https://www.mycareersfuture.sg/job/senior-strategy-director-groupm-asia-pacific-holdings-39d6123a666d13b35c3fb61c71635192,analytics
https://www.mycareersfuture.sg/job/senior-machine-learning-engineer-mindcraft-singapore-77a6453165f62994e6f9bb0e7328c3ae,analytics
https://www.mycareersfuture.sg/job/growth-marketer-cialfo-355ca9db08173a1d14200ede1d09a442,analytics
https://www.mycareersfuture.sg/job/solution-analyst-shell-eastern-petroleum-69628559ea019cef7d3248feae4c39a4,analytics
https://www.mycareersfuture.sg/job/senior-strategy-director-groupm-singapore-7ab00c1294438ad3aaf68f237f2f40b9,analytics
https://www.mycareersfuture.sg/job/technology-consultant-simplifynext-308b7b09e7e0c3e355c1dbcd6285b46d,analytics
https://www.mycareersfuture.sg/job/manager-branding-communications-dksh-singapore-745e2f2161e6589a0a1ebcec0186c309,analytics
https://www.mycareersfuture.sg/job/research-engineer-senior-research-engineer-astar-research-entities-e6843671708adb132d9f2ed8eb61d159,analytics
https://www.mycareersfuture.sg/job/programmatic-media-director-groupm-asia-pacific-holdings-b8b123940df411a9319e2ec77295e1fb,analytics
https://www.mycareersfuture.sg/job/recruitment-consultant-technology-nextwave-partners-df22fd42fabf4022137655acc4c0d3d0,analytics
https://www.mycareersfuture.sg/job/senior-designer-mindcraft-singapore-d61155e701f70afdca4efce9280e0229,analytics
https://www.mycareersfuture.sg/job/senior-engineer-mindcraft-singapore-b363e8128c8f1a214cea227838eae12b,analytics
https://www.mycareersfuture.sg/job/lead-product-manager-mindcraft-singapore-278c0f741f9d40229fc37fee4eeecf07,analytics
https://www.mycareersfuture.sg/job/seo-content-marketing-content-editor-industrial-electronics-d1c14963d2be132843b11ae0465b6deb,analytics
https://www.mycareersfuture.sg/job/staffing-researcher-engineering-manager-recruiting-technology-staffing-singapore-google-asia-pacific-51f7e16608358b7a5641076c7d179280,analytics
https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-d6749e3d6e1d5f180731237e37d646d8,analytics
https://www.mycareersfuture.sg/job/manager-mechanical-cf03e6e08a717ebb40fbf8ad80fce0ce,analytics
https://www.mycareersfuture.sg/job/account-manager-1fd7a322c20453417d3785b8aa1653a7,analytics
https://www.mycareersfuture.sg/job/client-director-c79ad52c25998187a336f93819e1e897,analytics
https://www.mycareersfuture.sg/job/client-director-d817d8ec1aca0954def8e29a06758ee2,analytics
https://www.mycareersfuture.sg/job/senior-manager-finance-hr-administaration-2ba612ff3e54e0f9cb0fc1cb434bb674,analytics
https://www.mycareersfuture.sg/job/assistant-director-sciente-international-0a61804734a007fb8b69b1a1f72f2600,analytics
https://www.mycareersfuture.sg/job/actuarial-manager-qbe-insurance-e1c21e74205e9dc21dff8f6744c5d794,analytics
https://www.mycareersfuture.sg/job/operations-securities-division-operations-equities-trading-services-analyst-goldman-sachs-services-992f411b06a1037184141a8c2a7064ea,analytics
https://www.mycareersfuture.sg/job/operations-reg-control-ops-regulatory-ops-derivatives-regulatory-reporting-associate-goldman-sachs-services-3b55d7cee4421e7e847138d2a173630d,analytics
https://www.mycareersfuture.sg/job/research-associate-eee-infinitus-nanyang-technological-university-67c714d60cec137110d1bed73babe870,analytics
https://www.mycareersfuture.sg/job/operations-reg-control-ops-regulatory-ops-derivatives-regulatory-reporting-associate-goldman-sachs-services-a6208dd8d5b776d70f67ce582f911edb,analytics
https://www.mycareersfuture.sg/job/senior-associate-balance-sheet-management-corporate-treasury-group-finance-dbs-bank-ae1ca6f0a9e78ee8e52926288fe85b90,analytics
https://www.mycareersfuture.sg/job/associate-balance-sheet-management-corporate-treasury-group-finance-dbs-bank-0978f0b753706d0dd4c920b097c81b1c,analytics
https://www.mycareersfuture.sg/job/operations-regulatory-operations-derivatives-regulatory-reporting-executive-director-goldman-sachs-services-83d8e44a829314e7049ee5c07300486f,analytics
https://www.mycareersfuture.sg/job/engineering-lead-mindcraft-singapore-e02de28a458e57459523c639cf91eaa7,analytics
https://www.mycareersfuture.sg/job/finance-manager-canopy-91b15b2cc482ed5349f52c0ebc2207e9,analytics
https://www.mycareersfuture.sg/job/marketing-manager-spotify-singapore-67c79c64ee1705d79fb08559003b8c9f,analytics
https://www.mycareersfuture.sg/job/marketing-executive-maserazi-0c227d4bcd923f345ff0ff7e14dd8b6b,analytics
https://www.mycareersfuture.sg/job/events-sales-manager-globaldata-33bf0214b5d79118c6fe553963dec231,analytics
https://www.mycareersfuture.sg/job/valuation-analyst-john-foord-d84335be76bed571c8af4af3452a46ee,analytics
https://www.mycareersfuture.sg/job/recruiter-global-business-operations-portfolio-singapore-google-asia-pacific-94b144c530975fee280a102dcde8c04f,analytics
https://www.mycareersfuture.sg/job/hr-executive-teambuild-engineering-construction-211e57ea8f81992a8e474b3f7c0ccb54,analytics
https://www.mycareersfuture.sg/job/driver-relation-manager-unicorn-limo-3c72ae58ff8de62a07aac388b4a99e38,analytics
https://www.mycareersfuture.sg/job/hr-officer-zhao-yang-geotechnic-5217a4ff3ee6fa2f6866323174c76276,analytics
https://www.mycareersfuture.sg/job/smart-grid-research-manager-edf-lab-singapore-ded26e7dff6ab49f31073d6cc154b80e,analytics
https://www.mycareersfuture.sg/job/telesales-telemarketing-manager-simone-studios-a547fc8388c0cd0191c09b2a1fd5126b,analytics
https://www.mycareersfuture.sg/job/manager-long-chen-construction-09d74fa4597c229bc71f076a68225e96,analytics
https://www.mycareersfuture.sg/job/pricing-contracts-analyst-amphenol-fci-asia-f7340abda427cc652ffd7f05b3a826a5,analytics
https://www.mycareersfuture.sg/job/svp-team-head-strategic-cost-management-digital-value-capture-group-finance-dbs-bank-346d677bbb75ea6a76ae0e1450fb2f6c,analytics
https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-c2ff59da8ad9e3b133d1587e92e4c24d,analytics
https://www.mycareersfuture.sg/job/principal-research-engineer-i2r-astar-astar-research-entities-80884c63cf83097c77993df48981948b,analytics
https://www.mycareersfuture.sg/job/data-management-expert-blackrock-advisors-singapore-f6d5730cb52484fb163326e5b9145f2c,analytics
https://www.mycareersfuture.sg/job/senior-consultant-energy-kbc-advanced-technology-f9d42ea4be02bc44e53a68b70d223804,analytics
https://www.mycareersfuture.sg/job/web-developer-administrator-elite-asia-bef7664dfdd06d652d9c8451cd6b02e4,analytics
https://www.mycareersfuture.sg/job/manager-senior-manager-deloitte-touche-enterprise-risk-services-cdae4864d667d81918e9d276e582a0d9,analytics
https://www.mycareersfuture.sg/job/assistant-manager-education-national-university-singapore-fcefd3d3f95f053d13ace55b8041537e,analytics
https://www.mycareersfuture.sg/job/admin-officer-i2r-astar-astar-research-entities-48fd661cdabea301a235cc034f354249,analytics
https://www.mycareersfuture.sg/job/quantity-risk-analyst-%E2%80%93-lng-trading-multinational-kerry-consulting-e793cb676c6e94ca9b1c563ea2df8d2a,analytics
https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-f67c0b817420bcae56a180bf5d868f52,analytics
https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-ac2eac084120e2a67448d180b6ec6c0a,analytics
https://www.mycareersfuture.sg/job/scientist-astar-research-entities-24be72fbc2b57638905be7fc41acaa07,analytics
https://www.mycareersfuture.sg/job/people-operations-business-partner-compass-group-855b719cf133eb6c3ee93df0fecac9a3,analytics
https://www.mycareersfuture.sg/job/engineer-senior-engineer-industrial-engineering-globalfoundries-singapore-faca4886841f76f1db2059d2a76f7683,analytics
https://www.mycareersfuture.sg/job/internet-engineer-u-p-insurance-agency-4d48dd83226105aeda3781492498394e,analytics
https://www.mycareersfuture.sg/job/pre-sales-consultant-trakomatic-3a478826d177d6e98dbb15d6d7c09cd4,analytics
https://www.mycareersfuture.sg/job/product-manager-taiger-singapore-f15a6338397d0da37dfaa4075ae58c83,analytics
https://www.mycareersfuture.sg/job/product-manager-taiger-singapore-56a29bbc076c74215cc3f8408c0196bb,analytics
https://www.mycareersfuture.sg/job/director-nike-direct-com-asia-hub-nike-global-trading-bv-singapore-branch-4b461a167801c269a4dce22faf402759,analytics
https://www.mycareersfuture.sg/job/senior-research-fellow-national-university-singapore-d3e4323a5ef4a408ca2afee3113748cd,analytics
https://www.mycareersfuture.sg/job/director-ad-ops-omd-singapore-dfd76836f065a6212e4a72a019a29858,analytics
https://www.mycareersfuture.sg/job/senior-specialist-change-management-borouge-f277875417534c99f44619a69bc15bc2,analytics
https://www.mycareersfuture.sg/job/partner-manager-b8b9075a3067951469a95b91b7557d5e,analytics
https://www.mycareersfuture.sg/job/chief-financial-officer-87fb33a32cde51e43abf602a69370593,analytics
